        State: Sibiu, g: 480.0, h: 253.0, f: 733.0, Order:24
          State: Oradea, g: 631.0, h: 380.0, f: 1011.0, Order:-1
          State: Arad, g: 620.0, h: 366.0, f: 986.0, Order:-1
          State: Fagaras, g: 579.0, h: 176.0, f: 755.0, Order:-1
          State: Rimnicu, g: 560.0, h: 193.0, f: 753.0, Order:-1
        State: Timisoara, g: 458.0, h: 329.0, f: 787.0, Order:23
          State: Arad, g: 576.0, h: 366.0, f: 942.0, Order:-1
          State: Lugoj, g: 569.0, h: 244.0, f: 813.0, Order:-1
      State: Lugoj, g: 333.0, h: 244.0, f: 577.0, Order:8
        State: Mehadia, g: 403.0, h: 241.0, f: 644.0, Order:21
          State: Drobeta, g: 478.0, h: 242.0, f: 720.0, Order:-1
          State: Lugoj, g: 473.0, h: 244.0, f: 717.0, Order:-1
        State: Timisoara, g: 444.0, h: 329.0, f: 773.0, Order:20
          State: Arad, g: 562.0, h: 366.0, f: 928.0, Order:-1
          State: Lugoj, g: 555.0, h: 244.0, f: 799.0, Order:-1
BreadthFirstTreeSearch:		(cost=568.0, expansions=42)	Timisoara Arad Sibiu Fagaras Bucharest
State: Timisoara, g: 0.0, h: 329.0, f: 329.0, Order:0
  State: Arad, g: 118.0, h: 366.0, f: 484.0, Order:-1
  State: Lugoj, g: 111.0, h: 244.0, f: 355.0, Order:1
    State: Mehadia, g: 181.0, h: 241.0, f: 422.0, Order:-1
    State: Timisoara, g: 222.0, h: 329.0, f: 551.0, Order:2
      State: Arad, g: 340.0, h: 366.0, f: 706.0, Order:3
        State: Zerind, g: 415.0, h: 374.0, f: 789.0, Order:-1
        State: Sibiu, g: 480.0, h: 253.0, f: 733.0, Order:4
          State: Oradea, g: 631.0, h: 380.0, f: 1011.0, Order:5
            State: Zerind, g: 702.0, h: 374.0, f: 1076.0, Order:6
              State: Oradea, g: 773.0, h: 380.0, f: 1153.0, Order:-1
              State: Arad, g: 777.0, h: 366.0, f: 1143.0, Order:7
                State: Zerind, g: 852.0, h: 374.0, f: 1226.0, Order:8
                  State: Oradea, g: 923.0, h: 380.0, f: 1303.0, Order:9
                    State: Zerind, g: 994.0, h: 374.0, f: 1368.0, Order:10
                      State: Oradea, g: 1065.0, h: 380.0, f: 1445.0, Order:11
                        State: Zerind, g: 1136.0, h: 374.0, f: 1510.0, Order:12
                          State: Oradea, g: 1207.0, h: 380.0, f: 1587.0, Order:-1
                          State: Arad, g: 1211.0, h: 366.0, f: 1577.0, Order:13
                            State: Zerind, g: 1286.0, h: 374.0, f: 1660.0, Order:-1
                            State: Sibiu, g: 1351.0, h: 253.0, f: 1604.0, Order:-1
                            State: Timisoara, g: 1329.0, h: 329.0, f: 1658.0, Order:14
                              State: Arad, g: 1447.0, h: 366.0, f: 1813.0, Order:15
                                State: Zerind, g: 1522.0, h: 374.0, f: 1896.0, Order:-1
                                State: Sibiu, g: 1587.0, h: 253.0, f: 1840.0, Order:-1
                                State: Timisoara, g: 1565.0, h: 329.0, f: 1894.0, Order:16
                                  State: Arad, g: 1683.0, h: 366.0, f: 2049.0, Order:-1
                                  State: Lugoj, g: 1676.0, h: 244.0, f: 1920.0, Order:17
                                    State: Mehadia, g: 1746.0, h: 241.0, f: 1987.0, Order:-1
                                    State: Timisoara, g: 1787.0, h: 329.0, f: 2116.0, Order:18
                                      State: Arad, g: 1905.0, h: 366.0, f: 2271.0, Order:-1
                                      State: Lugoj, g: 1898.0, h: 244.0, f: 2142.0, Order:19
                                        State: Mehadia, g: 1968.0, h: 241.0, f: 2209.0, Order:-1
                                        State: Timisoara, g: 2009.0, h: 329.0, f: 2338.0, Order:20
                                          State: Arad, g: 2127.0, h: 366.0, f: 2493.0, Order:-1
                                          State: Lugoj, g: 2120.0, h: 244.0, f: 2364.0, Order:21
                                            State: Mehadia, g: 2190.0, h: 241.0, f: 2431.0, Order:22
                                              State: Drobeta, g: 2265.0, h: 242.0, f: 2507.0, Order:23
                                                State: Craiova, g: 2385.0, h: 160.0, f: 2545.0, Order:-1
                                                State: Mehadia, g: 2340.0, h: 241.0, f: 2581.0, Order:24
                                                  State: Drobeta, g: 2415.0, h: 242.0, f: 2657.0, Order:-1
                                                  State: Lugoj, g: 2410.0, h: 244.0, f: 2654.0, Order:25
                                                    State: Mehadia, g: 2480.0, h: 241.0, f: 2721.0, Order:26
                                                      State: Drobeta, g: 2555.0, h: 242.0, f: 2797.0, Order:-1
                                                      State: Lugoj, g: 2550.0, h: 244.0, f: 2794.0, Order:27
                                                        State: Mehadia, g: 2620.0, h: 241.0, f: 2861.0, Order:28
                                                          State: Drobeta, g: 2695.0, h: 242.0, f: 2937.0, Order:-1
                                                          State: Lugoj, g: 2690.0, h: 244.0, f: 2934.0, Order:29
                                                            State: Mehadia, g: 2760.0, h: 241.0, f: 3001.0, Order:-1
                                                            State: Timisoara, g: 2801.0, h: 329.0, f: 3130.0, Order:30
                                                              State: Arad, g: 2919.0, h: 366.0, f: 3285.0, Order:-1
                                                              State: Lugoj, g: 2912.0, h: 244.0, f: 3156.0, Order:31
                                                                State: Mehadia, g: 2982.0, h: 241.0, f: 3223.0, Order:32
                                                                  State: Drobeta, g: 3057.0, h: 242.0, f: 3299.0, Order:-1
                                                                  State: Lugoj, g: 3052.0, h: 244.0, f: 3296.0, Order:33
                                                                    State: Mehadia, g: 3122.0, h: 241.0, f: 3363.0, Order:-1
                                                                    State: Timisoara, g: 3163.0, h: 329.0, f: 3492.0, Order:34
                                                                      State: Arad, g: 3281.0, h: 366.0, f: 3647.0, Order:35
                                                                        State: Zerind, g: 3356.0, h: 374.0, f: 3730.0, Order:-1
                                                                        State: Sibiu, g: 3421.0, h: 253.0, f: 3674.0, Order:36
                                                                          State: Oradea, g: 3572.0, h: 380.0, f: 3952.0, Order:37
                                                                            State: Zerind, g: 3643.0, h: 374.0, f: 4017.0, Order:-1
                                                                            State: Sibiu, g: 3723.0, h: 253.0, f: 3976.0, Order:38
                                                                              State: Oradea, g: 3874.0, h: 380.0, f: 4254.0, Order:-1
                                                                              State: Arad, g: 3863.0, h: 366.0, f: 4229.0, Order:39
                                                                                State: Zerind, g: 3938.0, h: 374.0, f: 4312.0, Order:-1
                                                                                State: Sibiu, g: 4003.0, h: 253.0, f: 4256.0, Order:-1
                                                                                State: Timisoara, g: 3981.0, h: 329.0, f: 4310.0, Order:40
                                                                                  State: Arad, g: 4099.0, h: 366.0, f: 4465.0, Order:41
                                                                                    State: Zerind, g: 4174.0, h: 374.0, f: 4548.0, Order:42
                                                                                      State: Oradea, g: 4245.0, h: 380.0, f: 4625.0, Order:43
                                                                                        State: Zerind, g: 4316.0, h: 374.0, f: 4690.0, Order:44
                                                                                          State: Oradea, g: 4387.0, h: 380.0, f: 4767.0, Order:-1
                                                                                          State: Arad, g: 4391.0, h: 366.0, f: 4757.0, Order:45
                                                                                            State: Zerind, g: 4466.0, h: 374.0, f: 4840.0, Order:46
                                                                                              State: Oradea, g: 4537.0, h: 380.0, f: 4917.0, Order:47
                                                                                                State: Zerind, g: 4608.0, h: 374.0, f: 4982.0, Order:48
                                                                                                  State: Oradea, g: 4679.0, h: 380.0, f: 5059.0, Order:-1
                                                                                                  State: Arad, g: 4683.0, h: 366.0, f: 5049.0, Order:49
                                                                                                    State: Zerind, g: 4758.0, h: 374.0, f: 5132.0, Order:50
                                                                                                      State: Oradea, g: 4829.0, h: 380.0, f: 5209.0, Order:-1
                                                                                                      State: Arad, g: 4833.0, h: 366.0, f: 5199.0, Order:51
                                                                                                        State: Zerind, g: 4908.0, h: 374.0, f: 5282.0, Order:-1
                                                                                                        State: Sibiu, g: 4973.0, h: 253.0, f: 5226.0, Order:52
                                                                                                          State: Oradea, g: 5124.0, h: 380.0, f: 5504.0, Order:-1
                                                                                                          State: Arad, g: 5113.0, h: 366.0, f: 5479.0, Order:-1
                                                                                                          State: Fagaras, g: 5072.0, h: 176.0, f: 5248.0, Order:-1
                                                                                                          State: Rimnicu, g: 5053.0, h: 193.0, f: 5246.0, Order:53
                                                                                                            State: Craiova, g: 5199.0, h: 160.0, f: 5359.0, Order:54
                                                                                                              State: Drobeta, g: 5319.0, h: 242.0, f: 5561.0, Order:-1
                                                                                                              State: Rimnicu, g: 5345.0, h: 193.0, f: 5538.0, Order:-1
                                                                                                              State: Pitesti, g: 5337.0, h: 100.0, f: 5437.0, Order:55
                                                                                                                State: Craiova, g: 5475.0, h: 160.0, f: 5635.0, Order:-1
                                                                                                                State: Bucharest, g: 5438.0, h: 0.0, f: 5438.0, Order:-1
                                                                                                                State: Rimnicu, g: 5434.0, h: 193.0, f: 5627.0, Order:56
                                                                                                                  State: Craiova, g: 5580.0, h: 160.0, f: 5740.0, Order:57
                                                                                                                    State: Drobeta, g: 5700.0, h: 242.0, f: 5942.0, Order:-1
                                                                                                                    State: Rimnicu, g: 5726.0, h: 193.0, f: 5919.0, Order:-1
                                                                                                                    State: Pitesti, g: 5718.0, h: 100.0, f: 5818.0, Order:58
                                                                                                                      State: Craiova, g: 5856.0, h: 160.0, f: 6016.0, Order:-1
                                                                                                                      State: Bucharest, g: 5819.0, h: 0.0, f: 5819.0, Order:-1
                                                                                                                      State: Rimnicu, g: 5815.0, h: 193.0, f: 6008.0, Order:-1
                                                                                                                  State: Sibiu, g: 5514.0, h: 253.0, f: 5767.0, Order:-1
                                                                                                                  State: Pitesti, g: 5531.0, h: 100.0, f: 5631.0, Order:-1
                                                                                                            State: Sibiu, g: 5133.0, h: 253.0, f: 5386.0, Order:-1
                                                                                                            State: Pitesti, g: 5150.0, h: 100.0, f: 5250.0, Order:-1
                                                                                                        State: Timisoara, g: 4951.0, h: 329.0, f: 5280.0, Order:-1
                                                                                                    State: Sibiu, g: 4823.0, h: 253.0, f: 5076.0, Order:-1
                                                                                                    State: Timisoara, g: 4801.0, h: 329.0, f: 5130.0, Order:-1
                                                                                                State: Sibiu, g: 4688.0, h: 253.0, f: 4941.0, Order:-1
                                                                                              State: Arad, g: 4541.0, h: 366.0, f: 4907.0, Order:-1
                                                                                            State: Sibiu, g: 4531.0, h: 253.0, f: 4784.0, Order:-1
                                                                                            State: Timisoara, g: 4509.0, h: 329.0, f: 4838.0, Order:-1
                                                                                        State: Sibiu, g: 4396.0, h: 253.0, f: 4649.0, Order:-1
                                                                                      State: Arad, g: 4249.0, h: 366.0, f: 4615.0, Order:-1
                                                                                    State: Sibiu, g: 4239.0, h: 253.0, f: 4492.0, Order:-1
                                                                                    State: Timisoara, g: 4217.0, h: 329.0, f: 4546.0, Order:-1
                                                                                  State: Lugoj, g: 4092.0, h: 244.0, f: 4336.0, Order:-1
                                                                              State: Fagaras, g: 3822.0, h: 176.0, f: 3998.0, Order:-1
                                                                              State: Rimnicu, g: 3803.0, h: 193.0, f: 3996.0, Order:-1
                                                                          State: Arad, g: 3561.0, h: 366.0, f: 3927.0, Order:-1
                                                                          State: Fagaras, g: 3520.0, h: 176.0, f: 3696.0, Order:-1
                                                                          State: Rimnicu, g: 3501.0, h: 193.0, f: 3694.0, Order:-1
                                                                        State: Timisoara, g: 3399.0, h: 329.0, f: 3728.0, Order:-1
                                                                      State: Lugoj, g: 3274.0, h: 244.0, f: 3518.0, Order:-1
                                                                State: Timisoara, g: 3023.0, h: 329.0, f: 3352.0, Order:-1
                                                        State: Timisoara, g: 2661.0, h: 329.0, f: 2990.0, Order:-1
                                                    State: Timisoara, g: 2521.0, h: 329.0, f: 2850.0, Order:-1
                                              State: Lugoj, g: 2260.0, h: 244.0, f: 2504.0, Order:-1
                                            State: Timisoara, g: 2231.0, h: 329.0, f: 2560.0, Order:-1
                              State: Lugoj, g: 1440.0, h: 244.0, f: 1684.0, Order:-1
                        State: Sibiu, g: 1216.0, h: 253.0, f: 1469.0, Order:-1
                      State: Arad, g: 1069.0, h: 366.0, f: 1435.0, Order:-1
                    State: Sibiu, g: 1074.0, h: 253.0, f: 1327.0, Order:-1
                  State: Arad, g: 927.0, h: 366.0, f: 1293.0, Order:-1
                State: Sibiu, g: 917.0, h: 253.0, f: 1170.0, Order:-1
                State: Timisoara, g: 895.0, h: 329.0, f: 1224.0, Order:-1
            State: Sibiu, g: 782.0, h: 253.0, f: 1035.0, Order:-1
          State: Arad, g: 620.0, h: 366.0, f: 986.0, Order:-1
          State: Fagaras, g: 579.0, h: 176.0, f: 755.0, Order:-1
          State: Rimnicu, g: 560.0, h: 193.0, f: 753.0, Order:-1
        State: Timisoara, g: 458.0, h: 329.0, f: 787.0, Order:-1
      State: Lugoj, g: 333.0, h: 244.0, f: 577.0, Order:-1
DepthFirstTreeSearch:	(cost=5819.0, expansions=59)	Timisoara Lugoj Timisoara Arad Sibiu Oradea Zerind Arad Zerind Oradea Zerind Oradea Zerind Arad Timisoara Arad Timisoara Lugoj Timisoara Lugoj Timisoara Lugoj Mehadia Drobeta Mehadia Lugoj Mehadia Lugoj Mehadia Lugoj Timisoara Lugoj Mehadia Lugoj Timisoara Arad Sibiu Oradea Sibiu Arad Timisoara Arad Zerind Oradea Zerind Arad Zerind Oradea Zerind Arad Zerind Arad Sibiu Rimnicu Craiova Pitesti Rimnicu Craiova Pitesti Bucharest
State: Timisoara, g: 0.0, h: 329.0, f: 329.0, Order:0
  State: Arad, g: 118.0, h: 366.0, f: 484.0, Order:2
    State: Zerind, g: 193.0, h: 374.0, f: 567.0, Order:4
      State: Oradea, g: 264.0, h: 380.0, f: 644.0, Order:10
        State: Zerind, g: 335.0, h: 374.0, f: 709.0, Order:15
          State: Oradea, g: 406.0, h: 380.0, f: 786.0, Order:30
            State: Zerind, g: 477.0, h: 374.0, f: 851.0, Order:54
              State: Oradea, g: 548.0, h: 380.0, f: 928.0, Order:-1
              State: Arad, g: 552.0, h: 366.0, f: 918.0, Order:-1
            State: Sibiu, g: 557.0, h: 253.0, f: 810.0, Order:-1
          State: Arad, g: 410.0, h: 366.0, f: 776.0, Order:34
            State: Zerind, g: 485.0, h: 374.0, f: 859.0, Order:61
              State: Oradea, g: 556.0, h: 380.0, f: 936.0, Order:-1
              State: Arad, g: 560.0, h: 366.0, f: 926.0, Order:-1
            State: Sibiu, g: 550.0, h: 253.0, f: 803.0, Order:-1
            State: Timisoara, g: 528.0, h: 329.0, f: 857.0, Order:87
              State: Arad, g: 646.0, h: 366.0, f: 1012.0, Order:-1
              State: Lugoj, g: 639.0, h: 244.0, f: 883.0, Order:-1
        State: Sibiu, g: 415.0, h: 253.0, f: 668.0, Order:37
          State: Oradea, g: 566.0, h: 380.0, f: 946.0, Order:-1
          State: Arad, g: 555.0, h: 366.0, f: 921.0, Order:-1
          State: Fagaras, g: 514.0, h: 176.0, f: 690.0, Order:80
            State: Bucharest, g: 725.0, h: 0.0, f: 725.0, Order:-1
            State: Sibiu, g: 613.0, h: 253.0, f: 866.0, Order:-1
          State: Rimnicu, g: 495.0, h: 193.0, f: 688.0, Order:70
            State: Craiova, g: 641.0, h: 160.0, f: 801.0, Order:-1
            State: Sibiu, g: 575.0, h: 253.0, f: 828.0, Order:-1
            State: Pitesti, g: 592.0, h: 100.0, f: 692.0, Order:-1
      State: Arad, g: 268.0, h: 366.0, f: 634.0, Order:11
        State: Zerind, g: 343.0, h: 374.0, f: 717.0, Order:18
          State: Oradea, g: 414.0, h: 380.0, f: 794.0, Order:35
            State: Zerind, g: 485.0, h: 374.0, f: 859.0, Order:62
              State: Oradea, g: 556.0, h: 380.0, f: 936.0, Order:-1
              State: Arad, g: 560.0, h: 366.0, f: 926.0, Order:-1
            State: Sibiu, g: 565.0, h: 253.0, f: 818.0, Order:-1
          State: Arad, g: 418.0, h: 366.0, f: 784.0, Order:40
            State: Zerind, g: 493.0, h: 374.0, f: 867.0, Order:68
              State: Oradea, g: 564.0, h: 380.0, f: 944.0, Order:-1
              State: Arad, g: 568.0, h: 366.0, f: 934.0, Order:-1
            State: Sibiu, g: 558.0, h: 253.0, f: 811.0, Order:-1
            State: Timisoara, g: 536.0, h: 329.0, f: 865.0, Order:91
              State: Arad, g: 654.0, h: 366.0, f: 1020.0, Order:-1
              State: Lugoj, g: 647.0, h: 244.0, f: 891.0, Order:-1
        State: Sibiu, g: 408.0, h: 253.0, f: 661.0, Order:32
          State: Oradea, g: 559.0, h: 380.0, f: 939.0, Order:-1
          State: Arad, g: 548.0, h: 366.0, f: 914.0, Order:-1
          State: Fagaras, g: 507.0, h: 176.0, f: 683.0, Order:78
            State: Bucharest, g: 718.0, h: 0.0, f: 718.0, Order:-1
            State: Sibiu, g: 606.0, h: 253.0, f: 859.0, Order:-1
          State: Rimnicu, g: 488.0, h: 193.0, f: 681.0, Order:65
            State: Craiova, g: 634.0, h: 160.0, f: 794.0, Order:-1
            State: Sibiu, g: 568.0, h: 253.0, f: 821.0, Order:-1
            State: Pitesti, g: 585.0, h: 100.0, f: 685.0, Order:-1
        State: Timisoara, g: 386.0, h: 329.0, f: 715.0, Order:24
          State: Arad, g: 504.0, h: 366.0, f: 870.0, Order:76
            State: Zerind, g: 579.0, h: 374.0, f: 953.0, Order:-1
            State: Sibiu, g: 644.0, h: 253.0, f: 897.0, Order:-1
            State: Timisoara, g: 622.0, h: 329.0, f: 951.0, Order:-1
